alt,asicstate,coeff,counts,emailtime,exttemp,flightstate,inttemp,lat,lon,pressure,settemp,setvolts,siphrastate,sipmtemp,time,volts
853.8,2,20.0,322.7,2018-07-06 00:20:07,35.5,2,62.25,31.69071,-103.49602,926.0,20.0,-28.0,5,63.25,00:19:43,-28.864
849.8,2,20.0,124.2,2018-07-06 00:30:08,34.44,2,62.56,31.69071,-103.496,926.0,20.0,-28.0,5,63.56,00:29:46,-28.871
849.6,2,20.0,321.8,2018-07-06 00:37:53,34.12,2,62.69,31.69071,-103.49601,926.0,20.0,-28.0,5,63.69,00:34:52,-28.874
848.4,2,20.0,713.5,2018-07-06 00:40:24,34.06,2,62.75,31.6907,-103.49599,926.0,20.0,-28.0,5,63.81,00:40:00,-28.875
847.5,2,20.0,1326.7,2018-07-06 00:45:53,33.69,2,62.81,31.69071,-103.49602,926.0,20.0,-28.0,5,63.88,00:45:05,-28.878
845.9,2,20.0,163.0,2018-07-06 00:50:38,33.25,2,62.88,31.69071,-103.49601,926.0,20.0,-28.0,5,63.94,00:50:12,-28.879
845.6,2,20.0,241.7,2018-07-06 01:00:52,32.62,2,62.88,31.6907,-103.49599,926.0,20.0,-28.0,5,63.94,01:00:22,-28.879
846.9,2,20.0,229.4,2018-07-06 01:05:38,32.31,2,62.81,31.69071,-103.496,926.0,20.0,-28.0,5,63.88,01:05:24,-28.879
843.9,2,20.0,212.8,2018-07-06 01:10:52,32.12,2,62.81,31.6907,-103.49601,926.0,20.0,-28.0,5,63.81,01:10:26,-28.878
848.4,2,20.0,154.6,2018-07-06 01:15:52,31.81,2,62.69,31.6907,-103.496,926.0,20.0,-28.0,5,63.81,01:15:28,-28.877
